file: img_r000_c000.tif; corr: -1.0000000000; position: (0, 0); grid: (0, 0);
file: img_r000_c001.tif; corr: -1.0000000000; position: (3, 0); grid: (1, 0);
file: img_r000_c002.tif; corr: -1.0000000000; position: (6, 0); grid: (2, 0);
file: img_r000_c003.tif; corr: -1.0000000000; position: (9, 0); grid: (3, 0);
file: img_r001_c000.tif; corr: -1.0000000000; position: (0, 364); grid: (0, 1);
file: img_r001_c001.tif; corr: -1.0000000000; position: (3, 364); grid: (1, 1);
file: img_r001_c002.tif; corr: -1.0000000000; position: (6, 364); grid: (2, 1);
file: img_r001_c003.tif; corr: -1.0000000000; position: (9, 364); grid: (3, 1);
file: img_r002_c000.tif; corr: -1.0000000000; position: (0, 728); grid: (0, 2);
file: img_r002_c001.tif; corr: -1.0000000000; position: (3, 728); grid: (1, 2);
file: img_r002_c002.tif; corr: -1.0000000000; position: (6, 728); grid: (2, 2);
file: img_r002_c003.tif; corr: -1.0000000000; position: (9, 728); grid: (3, 2);
file: img_r003_c000.tif; corr: -1.0000000000; position: (0, 1092); grid: (0, 3);
file: img_r003_c001.tif; corr: -1.0000000000; position: (3, 1092); grid: (1, 3);
file: img_r003_c002.tif; corr: -1.0000000000; position: (6, 1092); grid: (2, 3);
file: img_r003_c003.tif; corr: -1.0000000000; position: (9, 1092); grid: (3, 3);
file: img_r004_c000.tif; corr: -1.0000000000; position: (0, 1456); grid: (0, 4);
file: img_r004_c001.tif; corr: -1.0000000000; position: (3, 1456); grid: (1, 4);
file: img_r004_c002.tif; corr: -1.0000000000; position: (6, 1456); grid: (2, 4);
file: img_r004_c003.tif; corr: -1.0000000000; position: (9, 1456); grid: (3, 4);
